review;summary
✅ Trip Verified |  Taipei to Ontario. They started the pre-landing safety check 7 minutes prior to the arrival time. No one checked the entire row of overhead bin above. The cabin crew finally finished the random safety check 2 minutes prior to landing. It was a long haul flight so I don't get why they pushed it to the last couple minutes and did it so rushed and irresponsible. I am thinking about flying with Eva air next time. At least Eva pays a lot more attention to safety issues.;For the Taipei to Ontarion flight, the cabin crew seemed quite careless and hasty. Although, it was a long-haul flight, safety check finished 2 minutes before landing.
Ontario to Taipei. China Airlines has a lot to improve. The boarding is the slowest I've ever seen. They just kept pausing the boarding. The cabin looks super nice on its official website yet it was actually not as impressive or comfortable. The seat was the crampest I've ever seen on a long haul flight, I kept moving my back cause it was really uncomfortable. The yellow blanket looks super used. As for the food, again, the worst I've ever seen on a long haul flight. Often I don't expect any nice meal on a coach class, but China Airlines really went too far. You don't even get a dessert like cake, only two side dishes. And the salad was a mess. You should not expect much for the snack in between the meals when flying economy class as well, but saltine crackers, what a joke. The restroom was kind of dirty. EVA, ANA, or Asiana all kept their restroom clean so I don't get why can't China Airlines keeps it at least not dirty. The service was okay, they are neither attentive nor rude. One last thing, just when we arrived at 5, I waited for my checked luggage till 6:30. The bottom line is you China airlines really has a lot to improve.;China airlines needs to refine their product and service. The boarding process was slow, cabin was not very comfortable for a long-haul flight, blankets seemed used, food quality was low, and the restrooms were not clean.
✅ Trip Verified |  Sydney to Amsterdam via Taipei. Don't fly this airline from Australia / North America through Taipei to Europe. Booked a Premium Economy flight from SYD to AMS for a personal trip. Premium Economy looked very good on their A350s. Only a week after booking they cancelled the SYD to TPE flight on the way out which when challenged, they suggested leaving earlier and having an 18 hour stop in TPE. I got them to book me a hotel, some meals and as the hotel was only for 12 hours, business class lounge access for the final wait, which took a fair bit of persuasion. Then a month before departure they cancelled the return TPE to SYD leg and caused me to stay yet again another 18 hours in TPE. At this point I had had enough but was too close to departure to try and find another Prem Econ ticket anywhere near the price. I tried to persuade them to upgrade me to Business so I could sleep properly, as I was now arriving on a workday and had to go straight to work. They just refused, even though the ticket price difference was 550 Euros, if I was to compare a fresh single ticket Business versus Economy. So they had to book the hotel and meals but this time refused point blank access to the Business Class lounge on the basis they don't run their own lounges in their main hub. Unfortunately, as a non-EU Carrier, they are only liable for delays on flights leaving the EU, so only 1 of the 2 delays was covered, although they are trying to ignore their responsibility at the moment. The planes are nice. The Premium Economy Seat is very big, and when you first sit down, with loads of leg room. However, to recline it, the seat goes forward - a lot! So much so that (and I am not tall, only 1.78m) you cannot fit your feet under the seat in front, so unless you are very short, the complete recline is useless. The food in Premium, unlike most other airlines, is pure Economy, and to be honest even more unappetizing than standard airline food. Their onboard service is questionable to say the least, even in Premium. For example, on 3 out of the 4 flights, they only produced a pre-dinner bar car once, and you had to keep asking for drinks, which might finally arrive. The inflight entertainment is pretty basic unless you are Chinese, luckily, I had a load of Netflix downloaded. All in all, I will never fly them again, and would suggest anyone tempted by decent pricing on tickets, particularly in premium classes, be very careful if flying long haul through Taipei (from Australasia, North America etc) - if the flights are not full, they will drop them and you will be stuck in TPE. Customer focussed - not on your life!;The flight experience from Sydney to Amsterdam through Taipei was unfavorable with China Airlines. First, they cancelled the first leg for which they made some arrangements then a month before departure they cancelled the second leg too. The customer support and service were not really good. The food and entertainment was just basic.
✅ Trip Verified |  New York JFK to Yangon via Taipei. I have flied so many times with different airlines from JFK to Yangon. But this is the worst experience ever. All my baggage are left at the transit. I can understand that that’s because of short transit hour and the airlines told me that’s normal for them. The problem is that I requested the wheel chair and no one picked me up at the transit. This is seriously ridiculous. I was awaiting the wheel chair until the last 5 minutes to the next airplane. This must be my last time taking China Airlines.;An annoying experience with China airlines. All the baggage was left at transit. Moreover, the request for wheel chair was not fulfilled.
✅ Trip Verified |  Amsterdam to Taipei. I had booked through KLM (who partner with China Airlines) and I had trouble to access my booking via China Airlines and therefore could not select my seat, which I found rather disappointing. This shouldn't be difficult to get right. The flight itself was very good. A  new plane with comfortable seats. Good leg space. Very attentive cabin crew. A lot of choice of movies and TV in the entertainment system. The food was good, although there was no hot chocolate, in lieu of coffee. An overnight bag with blanket, toothbrush and slippers was provided (which unfortunately is not standard anymore on long haul flights). All in all I would fly with China Airlines again, although I hope they improve the booking and check in process.;The booking process was disappointing while the flight experience was good with roomy and restful cabin, good service crew, tasty meals, and amenity kits.
✅ Trip Verified |  Jakarta to Taipei. The flight was supposed to depart at 14:10 from Jakarta to Taipei, but it was delayed for 1 hour 40 minutes due to technical problem. No reconciliation provided by the airline for this delay to the passengers. Our first time to fly China Airlines, and disappointing. They shall not fly problematic aircraft unless that is all they can afford. Will not fly China Airlines anymore.;The flight was late due to a technical problem and no adjustments were made for the passengers.
Not Verified |  Sydney to London via Taipei. It was a new A350 plane, with a herringbone business class seat arrangement, meaning that everyone had a private, yet aisle seat. Seats were excellent, fully flat with convenient pockets to store things and wider than some others. The table for meals or laptops etc was very stored under the TV screen, and deployed directly towards the passenger, rather than swivelling out, which is a great improvement on other business class table layouts. The slippers and personal vanity bag contain nothing worth taking off the plane. Service was somewhat functional rather than engaging but a lot of the crew had little English. They were kind and helpful but not very interactive. Food was okay and substantial, but not exceptional. China Airlines seem to be able to leave and arrive at airports on time. All in all a great business class outcome if you aren't fussed about the food and service but want a great seat and on time delivery. The Taipei lounge is good also. Comfortable seats and food and drink on tap and a kitchen doing Chinese dishes on demand.;Business class seats on new A350 were comfortable. Airline is generally ontime. Lounge facilities and crew were good but food and passenger kit on plane were passable only. Overall good experience.
✅ Trip Verified |  Taipei to Gatwick. Really impressive service and comfort. I’m a tall person and still had plenty of leg room. The staff are friendly and helpful and attentive. If you are English speaking you may struggle a little as the airline is very Chinese focused. So language could be a problem. Not a big problem but have patience and humor. The airport at Tai[ei is fantastic. We were in transit both ways. The transit area is bright and spacious. For me and my wife, we had no problems. I’d happily go again, as soon as I’m over the jet lag. The food was excellent I must say.;Good food, excellent transit experience at Taipei and efficient flight crew. English speaking skills of flight crew can be an area of improvement otherwise comfortable experience.
"✅ Trip Verified |  
Vancouver to Taipei. Flight original schedule to depart at 2:20 am and due to mechanic failure, it was announced to delayed to 5:00am. At 5am on Aug 5, it was announced, it will further delay to 8:00am. At, 8:30am, China airlines announce they can not fix the problem and the flight is canceled. 5 hours of delay and only CAD$15 meal voucher provided. After 8:30am, I was arranged another flight in the next day 2:20 am. After that, no meal, no accommodations, no transportation, is arranged. Ground staff orally mention the compensation will be done while landing in Taipei. but it never happen. Complaint in Taiwan China Airline office. No compensation and verbally apology.";Mechanical failure delayed and ultimately cancelled the flight. Airline adjusted passengers on next day flight but otherwise no additional compensation for inconvinience despite verbal promise by ground staff.
✅ Trip Verified |  Vancouver to Taipei. I have flown this airline several times and normally had good service but my last flight was a disaster. We were scheduled to leave Vancouver at 2:20 am. After no notifications the flight was delayed for one hour. At 4 am we were told it was now delayed until 8 am. After trying to sleep for a few hours on benches or the floor at 8:30 we were told the flight was cancelled. This was just the beginning. After going through customs and immigration (we never left the country?) We got back to the checkin counters and formed an enormous queue of approximately 300. They had 3-4 ground staff to attempt to rebook all of us on other flights as they were not sure that the aircraft would be ready to fly the next morning. Complete chaos ensued. There was virtually no communication between CA staff and passengers. Finally around 5:50 pm the last of us were confirmed on flights the following day. They begrudgingly gave a few dozen passengers hotel rooms with no food allowance. I lost 2 days in Manila, my final destination and was not offered any compensation for my prepaid hotel room. Overall a terrible beginning to a trip.;Unlike previous experience, the last flight from vancouver to Taipei was not good. Flight got delayed and then cancelled. Airline adjusted passengers on next day flight but otherwise no additional compensation for inconvinience.
✅ Trip Verified |  Taipei to Vancouver. I was impressed with the comfort and service. The staff was very friendly, they were prompt with meal time and very accommodating. The take off and landing were quite smooth, and I was happy with how painless the boarding was. The food was pretty good, with enough in the meal to fill me up for hours. For economy class the seats were decently comfortable, and the leg room was more than I was expecting. I loved the touch screens and the quantity of movie choices. My overall experience was as comfortable and painless as a flight can be. I would recommend this airline to anyone looking to take a lengthy flight.;Comfortable and smooth experience for all processes in flight. Highly recommended for long journeys.
Not Verified |  Christchurch to Auckland. Have previously flown with this airline in Business Class and could not fault it. We flew Premium Economy this time and were very disappointed. The seats are very comfortable and lots of movies to choose from, but the food and service were average. We had flown from Brisbane to Auckland three days earlier and were fed Fried Rice - no other choice(s) that was it! Coming back it was chicken with mushrooms, rice and vegetables. It was OK, but under seasoned and very bland. My husband cannot eat mushrooms and he eats hardly any vegetables. When he advised the hostess of this she came back with a serve of garlic bread from Business Class. That was his meal! He has a healthy appetite and was not impressed. I would point out that the same meals were being service to Economy Class, so not effort made to provide something a little bit better in Premium Economy. Drinks service limited - one with your meal, and another one just after. That was it. I do not think they were ever offering spirits. They also did not come round offering water on a regular basis, as most airlines. Will definitely go Business Class next time - I do recommend that.;Unlike business class experience, premium economy is not worth the cost. The food is same as economy class. Recommended to use business class instead.
✅ Trip Verified |  Brisbane to London return. Both flights the air crew and ground staff were great. Food was pretty good both trips, and enough choices for entertainment, including a number of recent movies, although would be pressed to have enough movies to do two London trips in the same month. At the price point I think China Airways offers a great product and Taipei airport is big enough to happily spend time during transit. Point to note duty free shopping is not a bargain.;China airways is great value for money with good service crew. Transit airport in Taipei has good facilities to pass transit time.
✅ Trip Verified |  Hong Kong to Taipei. Reasonable price, good service, the staff were polite and helpful. Really surprised that we would have a meal even for the short flight. The food is pretty delicious. However bigger portion would be better.;Great service and offer meal even on short flight between Hong Kong and Taipei.
✅ Trip Verified |  Vancouver to Taipei. One of the worst experiences I have had boarding a gate. Prior to boarding the gate I was hassled over my returning ticket which I did have. The boarding staff of China airlines were terrible they were forcing me to purchase another ticket. On top of that I am being told they will not allow me to board the gate, they will close the gate on me and that I would be sent home. I was forced to purchase a ticket that I will not use and cannot be refunded on now. All of my friends who flew out to Bali did not have any of these issues or forced to purchase a ticket going home. The absolute worst experience.;Had a very bad experience as i was forced to take extra return ticket by boarding gate staff. All other friends did not face this issue.
✅ Trip Verified |  Sydney to London via Taipei. Flight was originally on the 10th to London but rescheduled for the 11th because of a tropical storm heading towards Japan/Taiwan. I was upset because I was going to now miss the Semi final match between England and Croatia. I gave China airlines a ring was on hold for an hour (at this point I was ready to give up) and then was told at 10:15am that if I get to Sydney airport by 11am they would get me on an earlier flight and reach Taiwan before the storm does. So jumped in an Uber and was 5mins late. Thankfully I was put on an earlier flight as soon as I arrived! ;Orignal flight delayed due to weather. Contacting airline office by phone was difficult but they were helpful in arranging seat on earlier flight.
✅ Trip Verified |  Taipei to Denpasar. After a substandard flight from LHR to Taipei via Amsterdam, I was transferred to Bali. The transfer process in Taipei airport isn’t as easy as other major hubs as it involved a lot of stairs and lifts and a very confusing layout. The CI lounge in T1 was very crowded and it didn’t feel like a hub lounge for a major airlines, and when the main lounge was crowded they sent passengers to a small lounge which felt like a classroom. Outward journey: we left Taipei ontime. Boarding was easy and smooth. To my disappointment it was an old A330 with very dated interior. The seating was comfortable for a 5 hour flight. Entertainment was again very dated. Unlike my experience with their long haul flight, shortfall flights with China Airlines seem to be a different class. All the crew members on this flight was very friendly and approachable, and they didn’t stop providing any food or drink throughout the flight. It was indeed one of the best flights I had in terms of services. Landed in Bali on time but it was a long wait for the luggage. Return journey: check in at Bali was very slow but the agents were all very friendly. Returning flight was a slightly newer plan (A330). Service was again better than most of the long haul flight but definitely not as good as the outbound journey. Arrival at Taipei was very efficient. Quick immigration check and luggage was out within few minutes.;Good service experience on outbound flight but not the same on return. Aircrafts were slightly old and the lounges at Taipei was way over crowded.
"✅ Trip Verified |  OK service, issue with the planes I travelled London Heathrow to Taipei (with onward journey to Bali) in June with China Airlines. It involved a stop over at Amsterdam and the flight between London and Amsterdam was on KLM, while AMS to TPE was on China Airlines. Outbound flight left Amsterdam on time and arrived at Taipei few minutes ahead of schedule. China Airlines use new A350 for its European routes with the exception of Frankfurt. Once I got onboard I immediately noticed that the seat control panel wasn’t working. As a result there were only three possible positions throughout the flight – sit up, relax or flat bed. The table lamp was also disable because of this. I reported to the crew but they didn’t do anything until almost landing. Service was pretty efficient but not particularly warm nor friendly. Returning lag was slightly better. The CI lounge in Taipei terminal 1 was very dark and crowded until late evening. It was renovated 2-3 years ago but has started to show some sign of poor maintenance. The food and drink provided is substandard. Boarding was late by circa 20 minutes but the process was very easy for business class passengers. I was greeted by name by the cabin manager and the team which doesn’t always happen on CI long haul flights. Some of the crew members on this flight were exceptional. However I experienced problem again with the hardware. One of the toilets was out of order which means there was only one toilet for the business class cabin; the window shed in seat 14K was also broken. Seems to me that CI has a lot of maintenance issues. Overall it was a typical China Airlines long haul flight I’d expected. Nothing special and definitely not as good as it main competitor EVA. However the flight time suits me better (as EVA quite often involves a stop over at Bangkok).";Competitors have better service and lounge facilities but the schedule of this airline is better suited to requirement. Aircraft and lounge need maintenance.
✅ Trip Verified |  Taipei to Beijing. They were just doing their job. Very few ground staffs were there to help with the boarding. The flight attendants made no greeting when boarding and very limited interaction during the entire flight. The guy sitting next to me did not straight the seat back when takeoff and landing yet no cabin crew paid attention to it. The meal was okay. I am not picky about flight meal at all. A flight attendant sat on the jump seat with her legs crossed and stared into space after meal service. Together, the service was below average regarding Asia's airline but I would fly with China Airlines again if the ticket goes really affordable.;China airlines offered a resonable ticket price yet the service was substandard. The cabin crew were not attentive. The meal was right.
✅ Trip Verified |  Los Angeles to Taipei. As a mother travelling with infant, it was really hard time to keep baby feeling comfortable and didn't disturb to other passengers. But the flight crews helped me too many things during the flight. I do appreciate the cabin staff help. I would recommend about China Airlines. Good Service! ;A good flight experience from Los Angeles to Taipei with an infant. The cabin crew were helpful and supporting.
✅ Trip Verified |  Sydney to London via Taipei. As a family of 2 adults and a 14month old traveling to the UK, a balance of comfort and budget was important and after extensive research, I decided to give China Airlines a try since they’ve opened a 1 stop route SYD - LGW on brand new A350’s with a design awarded business cabin. I’ve flown business to the UK before with Qantas and Malaysian Airlines. Pre flight was simple with online pre-selection of meals, seats and free WiFi offer available but no limo service. Business check in counter and express path for security meant quick transit to the SkyTeam lounge which wasn’t as nice as the Qantas lounge and limited food & bev options. Priority boarding was available and once on board, the choice of the China Airlines business product proved itself to be a good one. The cabin and lighting is excellent, the flat bed seats/suites are modeled on Qatar and are spacious & comfortable. With an evening departure, our son slept with my wife for most of the SYD - TPE leg. A large screen with IFE including Pepper Pig kept him amused for the short time he was awake. Only downside was some language barriers with several stewardesses & western food was below average. TPE airport transit was straight forward with a modern comfortable lounge, baby room and showers along with good Asian food available. TPE - LGW boarded quickly again with priority boarding for business but once on board, the service stood out as better than the prior leg, largely because the cabin staff all spoke better English. The rules are more relaxed on this airline so letting our son play with his toys in the footwell area of my seat when he was awake was a big plus (Qantas would not have allowed this for safety reasons I suspect). Qantas also insist on making your baby sleep with the baby seat belt attachment on which is awkward and unhelpful when he’s already asleep. The food was also better on this leg and Pol Roger 2006 vintage pink champagne was excellent! Overall, My wife and I felt the seat product is superior to Qantas’ new business product which we flew to Hawaii in Nov. the in-flight service & food is inferior but here’s what the compromise gets you and your family, business return to London for 2/3rds of the Qantas cost or most other premium airlines prices. I’m a gold frequent flyer with Qantas but if they can’t get closer in price, I’ll be flying with China Airlines again for the next UK visit.;A good business class product experience with China airlines. The lounges were suitable with somewhat limited food selections. The boarding process was swift. Cabin's decor, lighting, and comfort was marvellous. The western food quality was low and there were language barriers between the passengers and the crew. I would consider China airlines in future.
✅ Trip Verified |  Flew China Airlines May 8th from Manila to Taipei. In my opinion their service is one of the best. FA's are very friendly and accommodating. There is no meal option for the flight but meal is superb. I had a great experience.;A fabulous experience with china airlines. good and friendly crew, limited choice for food but delicious meal.
✅ Trip Verified |  Tokyo to Taipei. Great customer service. We were late and they helped us through security and ran with us to show us the gate. Very friendly and professional, highly recommended. The food isn't the best but  is average. Drink service is nice (tea, coffee, water, wine). Lots of new movies, Hollywood and subtitled Japanese and Chinese as well.;an updated in-flight entertainment system, average food, nice drinks, and a friendly crew all contribute to an impressive customer service.
✅ Trip Verified |  Brisbane to Sapporo via Taipei. Skiing trip over Easter to Japan, staff very friendly both in the air and on the ground. In flight entertainment was pretty good. Food and drinks were also pretty good, with the exception of one breakfast (western choice) which was not good, some combination of omelette, ham and pasta. All in all I would highly recommend China Airlines and already booked the next flight to London.;From Brisbane to Sapporo through Taipei, airline staff were nice, good choices for meals and beverages and, the entertainment experience was great.
✅ Trip Verified | Gatwick to Taipei was a pleasant enough experience. Check-in was easy, staff were polite and friendly and the cabin crew were accommodating enough. Taipei to Gatwick was a little disappointing but not terrible. Our flight was delayed by 30 minutes. Cabin crew were pretty cold, very rarely showing a smile and we felt more of an inconvenience than appreciated customers. Food was ok, and whilst they would bring drinks when asked, they were often a bit stingy with amounts poured. If you go in with low expectations as I did I think you'll actually be surprised. Not terrible, but certainly not special.;A good experience from Gatwick to Taipei, with courteous and helpful staff, and good food and drinks. The flight was 30 minutes late.
✅ Trip Verified |  Taipei to Gatwick as my return journey. After a below expectation outgoing flight, the inbound flight was improved. Check in was smooth at a business class only counter. However the CI staff at the information desk was very rude to passengers making enquirers. Not a best representation of the company. It was very disappointing that as a business class passenger there is no dedicated lane for security and immigration. Security queue for both T1 (China Airlines) and T2 (EVA and China) tend to be long and neither airlines have special facilities for their business class passengers. The lounge in Taipei T1 (CI Dynasty lounge, the one closer to Gate A) was ok. It has no window but the design was classic. Food and drink choices were lacking. Boarding was announced in the lounge and there was a business class only bridge so you can skip the queue even if you are late at the gate. Service on this sector was significantly improved. I was offerred food and wine menu and was told that I should be able to change my food choice if I wanted to (I had pre-ordered online). The cabin manager introduced herself and offered a warm welcome. Again attention to details/amenities/food and drink were not as great as its main competitor EVA but this is partly compensated by the brand new airplane. Despite not offering full duvet and turn down service, sleep quality was good. The entertainment system also worked well. I personally found the onboard lounge on A350 a waste of space. I was told by the cabin manager that the lounge on 777 was larger and served its purpose and unfortunately it is not the case on A350. Business class passengers also only have 1 toilet (there are actually 2 but the other is frequented by passengers on deluxe economy). Overall the flight was a easy ride and we arrived at Gatwick early despite a late departure. It is not an overwhelming experience but it did work.;The business class experience was reasonable. For immigration and security, there was no dedicated business class lane. Lounges were fine but food and drink options were in a short supply. Cabin crew was welcoming and the entertainment system worked well.
✅ Trip Verified |  Melbourne to Christchurch return. Legroom was the best thing about flights. Seat width was excellent. Head rests were comfy enough. On flight back I was on back row seat with supposedly no recline, but it still reclined nicely which was great. Bonus for back row seat: there was bonus small ov locker. All seats on return flight had curious addition of a mirror. Slightly useful. Flight service on first flight: except for one kind older staff all other flight attendants were rock-faced. English announcements not good enough. Crew were much more courteous & helpful on flight back. Piloting skills: inconsistent. First flight had way more turbulence. Landing was shockingly bumpy. Flight back was smoother with perfect takeoff/landings. IFE was ancient/laggy. Food on first flight good. Return flight food way too oily.;The seats were very comfortable. The food and crew were nice on one leg but just average on the other. The flight was turbulent and the landing was bumpy on one leg.
"✅ Trip Verified |  Gatwick to Taipei. I haven't flown China Airlines for 20 years primarily due to their poor safety record in the 90s and also due to lack of network in Europe. After they launched direct flight to London I decided to take the opportunity and fly  back to Taiwan for lunar new year. I booked it through online travel agent and it was easy. However China Airlines website is difficult to navigate. Menu pre selection is not shown on your main profile, and entertainment was on another website. Nevertheless the online check in process was very easy. At London Gatwick the ground service is handled by a 3rd party company. They are very courteous and friendly. The lounge was No. 1 at the South Terminal. Nothing fancy but did it work. Boarding was well organised as business passengers were invited to take a seat near the bridge. The flight in the business class section was empty. 8 passengers occupied the entire 32 seats. Immediate reaction was the airplane was spotless and clean, while service was lacking. They only offered soft drinks before take off. It was noticeable how quiet the A350 was - far better than 777 and it was very spacious. The entertainment was good - large screen, good choices of movie and a lot of interaction function. The seat was  comfortable. What fell short (well, when being compared with EVA which is its main competitors) is the ambition to deliver a full service. On EVA you have great amenity, pajama, great selection of wines and food and service was second to none. On China Airlines it feels they are just doing their job without going extra mile. The biggest disappointment is the layout of the A350. There are 32 seats but there is only 1 toilet in the front of the airplane plus one at the rear of the business class section which is often visited by passengers in Premium Economy. Overall it's a ok flight but nothing really stands out. If the price is right I will still fly with China Airlines as it saves few hours and I really like A350; otherwise I would prefer EVA Air or Cathay Pacific over China Airlines.";China airlines website is not user friendly. The experience was well over boarding, lounge, staff, cleanliness, seat comfort, and entertainment. The negatives include only one lavatory for 32 business class seats which was often used by passengers from premium economy, and the amenities and accessories were missing.
"✅ Trip Verified | I flew this route from Taipei to Penang a few times and always with China Airlines as it is the only company which offers this direct connection. However, it is always a painful experience, except the staff who is nice, the rest is really poor starting with the plane itself. It is a miserable plane with much too little space for a 5 hours international flight, this type of plane is usually used for domestic short flights only. Then there is no individual monitor and you have one poor movie playing for the all flight on a common screen. The food is low quality and this flight is usually always late ""due to the late arrival of the plane"". Only one thing is high is the price. It is actually so bad that I considered taking a Cathay Pacific flight with a stop in Hong Kong to not fly in this flying sardine can.";The staff was nice but rest of the encounters were painful. The plane was not comfortable enough for a 5 hour flight and there were no individual screens. The food quality was low and the flight was delayed.
✅ Trip Verified |  Sydney to Amsterdam via Taipei and was pleasantly surprised. Did not travel with check-in luggage so the only interaction I had with staff on the ground was at the gate. I checked in on-line and needed to get my boarding card printed. This was done promptly and I was directed to board the aircraft. Cabin in Business was clean, neat and looked well maintained. Cabin staff were very professional, used my name and ensured that I had all I required but were not intrusive. Sat in 12K on this leg of the journey, found the ambient temperature too hot, 180 degree flatbed was unfortunately wasted on this leg as couldn't sleep comfortably at that temperature. Arrived in Taipei with a 4hr wait, used the lounge which was comfortable and staff were pleasant, a few of them spoke English which helped. Used the shower facility which was clean. Boarded flight leg to AMS on time, flight left on time as did previous leg. Filled out my breakfast request, put my bed into flat position and fell asleep. Ambient temperature was lower and I slept really well, right through the dinner service. Was in seat 11A on this leg and was wondering to myself whether being in the second row from the front of the aircraft had any influence on the temperature. Seating starts at row 10 on China Airlines A350. When I woke up about 6hrs later, the staff were apologising for not serving me dinner, had to assure them that i was alright, they brought me biscuits and green tea. Several hours later after enjoying their In-Flight Entertainment, I was served my breakfast as ordered. Each and every interaction I had on these two legs were as one should expect of a business class cabin. Would probably fly them again if the same deal presented itself when I needed to travel.;The experience was pleasant. The crew were trained and served well. In one of the flight legs, the temperature was hot so I could not sleep. but rest of the journey was pretty comfortable with an enjoyable in-flight entertainment. If would consider flying with China airlines if a good package comes on again.
✅ Trip Verified |  San Francisco to Delhi via Taipei. Really nice seats, good veggie food, polite cabin crew but the ground staff members at San Francisco are really rude and cant really understand English. The ground staff member at SFO didn't check our baggage in and it arrived one week late it was left at SFO, but overall the flight was nice.;The overall experience was nice with comfy seats, good food, and nice crew. We encountered problems with baggage.
✅ Trip Verified | Taipei to Frankfurt. Short term, only 8 days before the flight I purchased a very cheap ticket online with BYO. Australian ground staff was very polite and helpful to get some decent legspace for me. Stewardesses were very friendly and helpful, food was tasty and well warmed, requests for extra wine and a double gin and tonic was swiftly satisfied! Whilst the staff did not go around much offering drinks, they  responded quickly to requests. To my surprise there was no late dinner on the 13 hour leg Taipei to Frankfurt, but requests for some snacks, water and wine was quickly responded to in a very courteous manner. Both aircraft were very new, clean and both flights were without any turbulences. (Happens to me regularly on routes via China for whatever reason). I am very happy and will use them whenever I can in future.;The staff were nice and attentive and respond swiftly to the request. The meal was delicious and the aircraft was new and clean.
✅ Trip Verified |  Bangkok to Taipei. Quite an enjoyable experience. Outgoing aircraft is in older interior and outdated PTV, very small and blurry. But the aircraft seemed to be properly cleaned and well-maintained. Incoming aircraft is in a new interior, new PTV but slightly less legroom. Food for both flight taste good, reasonable portion size, drink selection is a bit limited. Flight attendants are nice and professional.;A delightful experience with an older but well maintained aircraft on one leg and and a new one for the other leg. Food was fine, drinks were limited while the crew served professionally.
✅ Trip Verified |  Taipei to Sydney. The journey was highly enjoyable and memorable for all the right reasons. No queue at check-in, with excellent ground crew at check-in and boarding. Premimum Economy had priority boarding. The amenities pack included slippers, eye shades, lip balm, moisturiser, toothbrush/toothpaste and a hair comb. In flight entertainment was excellent with big screens and a large collection of recent movies. Staff were very friendly and professional. The Premium Economy seat is the best I have experienced, it reclines within the hard shell and the leg support lifts out the furthest I have experienced. Food was also high quality.;A memorable premium economy experience with smooth check-in and boarding, a good amenity kit, delicious meals, friendly service, and the comfortable seat.
✅ Trip Verified |  Brisbane to Okinawa via Taipei. As a noticably pregnant woman flying with China I was disgusted with the staff. Not one of them acknowledged I was pregnant or bothered to help me get my bags into the overhead compartment, whenever I talked to staff there was thinly veiled contempt in their gaze, demeanor and voices. I was not a customer but problem. As an Australian I have never been treated like this by any other airline. On embarkation the cabin was thick with the smell of body odor, unclean, musty. The seats are crammed in like sardines and the food is disgusting. It was a read eye flight and they kept the lights on and fed us dinner at 2am when all I wanted to do was sleep, the flight was super bumpy and I did not feel safe with the condition of the inside of the plane surely making me wonder about the maintenance of the plane mechanics.;My experience as a pregnant woman was disgusting with China airlines. The staff were not caring at all, and the flight was not smooth.
"✅ Trip Verified |  Rome to Auckland via Taipei. Boarded in Rome, found my seat noticed a blanket on the seat not in a plastic bag. Opened it out and it was covered in black hairs. Found a flight attendant to ask for new blanket, and she said ""oh that's been used"" I had to ask for a clean one that came in a bag. The food was very bland I made the mistake and ordered vegetarian oriental, flavourless! The crew did not want to be there, they were remote in their expressions and service. When I asked for another water or apple juice they seemed annoyed that I asked. After the 9 hour layover in Taipei we were then directed to an Airbus A330 in my opinion far too small for a long haul flight to Brisbane. It was cramped, as in knees hitting the seat in front, and really uncomfortable. The on board IFE (inflight entertainment) screen was the size of a small paper back book, again not suitable for viewing a movie on a long haul flight. The crew were also detached on this flight as well. I don't expect the Crown Jewels when we fly but some sort of basic service is all one would expect. We would never ever fly China Airlines again, yes it was a good price but we got what we paid for. I feel I am not being harsh, I was a flight attendant for many years, service and a smile was number one priority.";We would never consider flying again with China Airlines. Although the price was cheap, but the basic product and service including crew was also low in quality.
✅ Trip Verified |  Brisbane to Nanjing via Taipei. I was 6 months pregnant when I flew China airlines. My husband and I requested for the priority seat which has more space when we checked in, the assistant told us she selected the front spacious seats for us. When we arrive the airplane we found out she put us in the middle of 4 seats row, where it’s hard for me to get up and go to toilet. We spoke with the staff on airline for help and they are rude and didn’t help us at all. It was a 9 hours fly trip and my legs & hands are super swollen. I will not fly with China airlines any more. It’s a nightmare for me!;China airlines would not be our choice in future. Our experience was bad. We requested help from flight attendants but they behaved rude.
✅ Trip Verified | Amsterdam to Sydney via Taipei. Do not fly with China Airlines - Just moved to Sydney with my friend where we left Dublin on the 3rd January and due to the airline we only arrived yesterday, the 5th so it took us 2 days when it should have taken 26 hours! There were delays on every single flight and when we got to Taipei we had to wait 14 hours to get a connection fight due to a delay in Amsterdam because the GPS on the plane was broken for 3 hours (sitting on the runway). When we arrived at Sydney we had no bags and were told they would arrive today, the 6th by 2pm, we still have no bags and it’s 9pm! When we asked to get seats together after sever delays this wasn’t even possible which was a joke! Worst customer service ever! I will never fly with them again!;The flight and the baggage service were delayed. The crew were not helpful, they didn't helped in getting our seats together.
✅ Trip Verified |  Taipei to Singapore. Cabin was dated but clean with seats with generous legroom and recline despite the presence of an entertainment box under all seats. Flight attendants weren't the most friendly but did their jobs well, serving refreshments and snacks. The food tasted pretty good, the chicken tasted fresh. Portions need to increase (they were about the size of my passport) IFE was very bad. It probably hasn't been upgraded since the day it was installed way back in 2005. Its resolution was so low that viewing a movie on it was torture. Its touch screen was so unresponsive that I had to literally jab it to get the screen to recognise my touch. Its only redeeming factor was its wide selecton of movies. Bring your on entertainment when going on CAL's regional A330s.;The flight cabin was old-fashioned but still clean with comfortable seats. The meals were delicious but portions were small. However, the in-flight entertainment system was too old with bad resolution but still it had wide options.
