review;title;rating;recommended;sentiment
✅ Trip Verified |  Plane was tired but clean, staff were dreadful. Saw the staff with a meal at the beginning of the night flight and then again at breakfast time before landing. No drinks even water offered through the night. Family with two year old twins behind me, never witnessed any help or a reassuring word offered to them. The staff didn’t really have a pleasant word for anyone. Went to the toilet in the night and it was awful, smelt and the seat was very dirty, needed checking a little more often. Breakfast was a brown paper bag with a croissant and plain yoghurt, the croissant was so cold it really was inedible, so as you might have gathered we won’t be flying air Canada again;"""won’t be flying air Canada again""";"
1
";no;0
✅ Trip Verified |  Air Canada disappointed in so many ways. We scheduled our flight with a connection having plenty of time to make it. Leaving late from ATL still left us two hours to wait for the next flight. For some reason Air Canada rescheduled our connecting flight to one four hours later. We saw people from our flight board the connecting flight with no problem. Only on presenting our Boarding Pass did we find out we could not board. No notification from the Air Canada app. Customer Service was zero help. Supervisor tried to prevent me recording him in a Public Area and threatened to not allow me to fly out. Very disappointed in Air Canada.;"""Very disappointed in Air Canada""";"
2
";no;0
✅ Trip Verified |  After waiting at the gate for one hour as the plane had arrived late and had to be inspected, we finally boarded at 10pm. Once inside the plane, we were informed we had to wait due to an electrical storm. An hour later around 11pm, the plane attempted to move but had a technical issue. The staff attempted to fix it for hours but were unable to. We were informed at 2am that our flight was cancelled and we had to exit the plane and retrieve our luggages. We were also informed that there was no hotel available. As we exited the plane, we waited an extra 30 minutes to be able to reach baggage claim and leave the airport. We received zero  compensation: I had to pay for my taxi there and back the next day, accommodation and food. The plane was reschedule for the next day at 5pm (not ideal in my opinion, I asked to change but they refused). The plane was delayed because it arrived late from a prior trip: this is not an issue out of their control. The plane was delayed an extra hour due to a problem out of their control. The day-long delay was their fault: technical issue is their fault. Air Canada does not care about its customers (safety or otherwise - honestly 1 hour to check a plane in between two flights? No.). I asked to be reimbursed for the expenses, they refused. I asked to be compensated for the 1 day delay, they refused. I tried again using Air Cover, they refused. This is a joke of an airline.;"""I asked to be compensated """;"
1
";no;0
"✅ Trip Verified |  I will never fly Air Canada again. My family and I had a 10 a.m. morning flight scheduled to depart Dublin with a 5.5 hour layover in Toronto in order to make it stress-free back to Florida. For unknown reasons (not weather-related) Air Canada delayed our Dublin flight so it did not leave Dublin until about 1530 (3:30 p.m.). They did not offer any sort of compensation for meals while we were stranded in the airport waiting for information about the flight, they kept pushing back the departure time in small 1-2 hour increments. When we finally arrived in Toronto, we had to run through the airport to another section, then had multiple stops for Immigration and Customs. Air Canada did not offer assistance getting through the airport nor offer any assurance that we would make our flight home. We had no time to get a bite to eat or rest because the 5.5 hour layover I planned did not happen. The only reason we made our flight from Toronto to Orlando, was because Customs searched the plane for 60 minutes looking for drugs, according to the Air Canada Rouge pilot, since the plane just came from Montego Bay. We were the last people to board the plane, breathless of course from running through the airport. I was stressed, my children were stressed and it was a horrible day. I requested compensation for the 5-hour delayed flight from Dublin to Toronto but because it was an ""in-transit"" flight, I am not eligible for compensation - no matter that I was inconvenienced tremendously. I will not choose Air Canada in the future.";"""not choose Air Canada in the future""";"
1
";no;0
Not Verified |  From the moment we entered the check in kiosk the experience was horrible. They do not help with the process, made too much of the hustle with the documents for custom which they shouldn't because they are not custom! Required vaccination certificate even when the flight was to the country where the vaccination status is not required anymore. Boarding was rushed, the staff were screaming at people.;"""the experience was horrible""";"
1
";no;0
✅ Trip Verified | Toronto to Paris. I would say the worst flight and service in my entire life, rude flight attendants. You should have food supply according to the numbers of passengers - how do you run out of food? The food quality is disgusting - will never fly again on Air Canada.;"""worst flight and service""";"
1
";no;0
✅ Trip Verified |  Air Canada did not help my mom that supposed to go on wheelchair when she was getting out of the plane from her flight Calgary to Vancouver. Because of this she walked long distance and got lost in the airport because she was a first time flyer. She developed edema in her legs when she got home and her legs was painful. She said she showed her boarding pass to the crews and asked but they said wheelchair wasn't noted on the boarding pass. I asked this matter to the ground crew when he hand me the boarding pass and he said its already in the system. But to the crew who don't see it in the boarding pass even if costumer ask will don't mind it. The law state that whoever identify themselves who needs wheelchair should be given. Air Canada was irresponsible and i was so disappointed.;"""supposed to go on wheelchair""";"
1
";no;0
Not Verified |  I was disappointed by Air Canada. They don’t provide headphones (although they will sell you a set).  It was a 4.5 hour flight, but they don’t provide even the smallest snack. Worst of all, they charge $35 to check a bag in. So people don’t do that if they can take a large carry-on for the overhead locker plus a smaller one for under the seat. Consequently, on my flight they ran out of room in the overhead lockers, so had to start offering to check some bags in to the hold for free. What a ridiculous system. Most airlines encourage as much luggage as possible to be checked in which reduces the chaos in the narrow aisle when embarking and disembarking.  They encourage cabin luggage but don’t have enough capacity to handle it when the customers do exactly what the airline encouraged them to do. And they give their passengers jet lag by having the blinds down on a daytime flight - flying eastward in daylight you have to stay awake. Chatting to one of the staff he said it made it easier for the staff if the passengers sleep. ;"""disappointed by Air Canada""";"
4
";no;0
Not Verified | Toronto to Manchester. Appalling customer service, before flight and during. They clearly treat their customers with disdain if not contempt. During the flights Manchester to Toronto (and return), the cabin staff did the bare minimum. An elderly woman had to ask three times for a glass of water. The food offerings were just about edible. No water service at all, during a long haul flight. Absolutely the worst cabin service I've ever experienced, and that includes the dire Ryanair. The flights were delayed. Indeed, all the Air Canada flights from Toronto that day were delayed. I had booked my ticket on 18th October 2021 and checked in for the flight online as soon as I was able, but I was not allocated a seat but placed on standby. Yet Air Canada was still selling economy seats on the flight after I had checked in. At the airport we were informed that the flight had been overbooked. Absolutely appalling practice. Will never fly Air Canada again and would strongly recommend others to avoid like the plague.;"""Appalling customer service""";"
1
";no;0
✅ Trip Verified |  What a terrible start to the trip. We paid for premium seating and were given coach. Told there was nothing to do about it because the flight was full and we'd have to call for a refund. And we will. I'm just venting because there isn't anything any airline will ever do about this type of bad customer service. Air Canada is just another addition to a long list of airlines who don't really care about their customers. They just are collecting dollars hoping for the people who won't chase down the refunds. And we didn't even choose this airline. They partner with United and we got stuck. Thanks, United.;"""don't really care about their customers""";"
1
";no;0
"✅ Trip Verified |  Problems started in Calgary where the flight has been postponed (always by half hour cca) in total 3 hours delay in start. First we have been waiting for the pilot / after a technical issue occurred. Due to the delay in the start i missed my original connection in Frankfurt. Air Canada agent sent us directly to Lufthansa to arrange issuance of new boarding passes. Of course it has not been coordinated with Lufthansa so few passengers have ""travelled"" the airport here and there. Delay was clear Air Canada mistake and no effort from their team to manage the situation. A huge disappointment for me Air Canada used to mean something - reflect quality. Do not expect that anymore.";"""A huge disappointment for me""";"
1
";no;0
✅ Trip Verified |  This was our first trip post Covid to Germany and as it was high season, we wanted to be comfortable so we booked J-Class for our trip to and from FRA via YYZ from YOW. Our check in at YOW was seamless as well as being very professional. The Maple Leaf Lounge was well staffed, spotlessly cleaned with very fresh tasty food and drink to enjoy. Boarding was very easy via Zone-1 and we were able to get our carry on into the overhead lockers (Full flight as well) on the new Airbus-220 in which we found clean and well appointed. Service as expected on a short inter city flight was well done by very polite professional crew. On an arrival in YYZ we transited to the Air Canada Signature Lounge where we enjoyed a small hot meal with appetizer with appropriate wine and champagne. Boarding in YYZ for FRA was seamless using Zone-1 and flight left late due to the number of passengers (full flight). On board service, food and drink selection was excellent due to the type of overseas flight. On arrival in FRA, we start at the B-Concourse with a 20-minute walk through immigration to the baggage hall where our baggage (4 pieces) was coming off the belt. On our return we changed a later flight to an earlier domestic connection easily thanks to the FRA staff. The MLL in FRA was excellent well appointed with food, drink with helpful staff. Even took advantage of having a shower before departure which was very nice. The FRA YYZ flight was exceptional service as well great food and drink. Even the Captain entered the first J Cabin to talk to passengers which was a nice touch. On arrival in YYZ no issues with customs or immigration with thanks to the Arrive Canada Ap and NEXUS. Our last flight was delayed due to a weather issue from the aircraft leaving DEN for YYZ. The CCSA kept everyone informed on delays as well as my email and Ap messaging service. On arrival in YOW our baggage arrived so no issues with this flight. In conclusion Air Canada handled itself brilliantly and the number of emails as well as text messages were very reassuring that they were doing their best to keep us informed at all times.;"""Air Canada handled itself brilliantly""";"
10
";yes;2
Not Verified |  We were traveling from Fort Lauderdale to Montreal. During check in Zaira noticed that we won’t have enough time to get to our connecting flight (thank god she noticed). She then proceeded to help us get to our final destination Italy (which is where she is from). She rebooked our flight and got us a travel voucher to go to MIA. She even went above and beyond by helping us check in and get our luggage paid. Amazing service from an amazing person. She deserves a raise.;"""Amazing service""";"
10
";yes;2
"✅ Trip Verified |  On 17 Jul 22, my family and I traveled under Air Canada (AC) booking # 4GN88Y to catch a flight (flight # AC8927) from Toronto (TOR) to Pittsburgh International Airport (PIT) leaving Toronto-Pearson IAP at 2030 hrs. We had arrived earlier in the day around 1630 to TOR on AC flight AC897 from Athens, Greece; an exhausting/grueling 10-hour flight. We had about a four-hour layover between flights. Around 2025 hrs, just before our scheduled boarding time, an AC rep, announced over the PA system there could be a delay of about a 1/2 hour - hour, as a co-pilot had not arrived for our flight. Surprisingly, around 2045 hrs, the AC rep announced we all would board the plane for PIT. All PIT passengers boarded the flight for PIT, after about 15 - 20 mins we were informed by the pilot that the co-pilot hadn't arrived, the flight was canceled, and we had to deplane & go back in the terminal and see AC personnel on the 3rd floor for assistance in rebooking our flight. My family/all of the PIT-bound passengers deplaned & went inside, where an AC rep let us know we would have to go through Customs (Again!), and try to get rebooked on another PIT flight. This would be the last information an in-person AC rep gave us at TOR IAP, and things became very disorganized. We made it through customs and went to retrieve our bags; no AC rep was there to give guidance/assistance (took over an hour!). The AC area was a catastrophe complete with crying children & stressed-out adults who didn't know what to do. When we finally got my daughter’s luggage it was badly damaged (caster wheel missing/hard case cracked); the luggage was only a few yrs old, and cost around $100. We discussed renting a car (one-way to PIT) and driving home that night, as my wife and I had work the next day, and my daughter had a law school prep class. We were exhausted & just needed to get home. While my wife & daughter, who were exhausted & frustrated waited for our baggage, I went to the 3rd floor & tried to find an in-person AC rep, but to no avail, all AC personnel appeared to be gone for the day. An airport employee directed me to a bank of phones to contact AC for rebooking & to get a voucher for a hotel if we had to stay overnight. I called from the bank of phone; got disconnected! However, a fellow passenger was able to get in touch with an AC (""Brian"", I believe), who advised he could book my family on a AC Flight from TOR to PIT the next afternoon around 1415 hrs. He also advised he couldn't help with securing a hotel, but if we could manage to get a hotel room, we could submit the expenses to AC for ""prompt"" reimbursement. I asked Brian about getting reimbursed by AC for renting a car and driving home (one-way rental to PIT); he informed AC would definitely reimburse us for this expense, as well as fuel costs for the vehicle, if we submitted receipts to the AC website. Based upon the affirmative representation from an AC rep that we would be reimbursed for renting a vehicle (& fuel for vehicle) we made the decision to rent a car, which took over an hour and cost $300; we also incurred fuel and toll charges. Arrived home about 0545 hrs, totally stressed out and sick to our stomachs. Filed a claim with AC & after now about 45 days, all we have received is an auto reply email AC rec'd our claim. No reimbursement, no phone call from AC with an update, & certainly no apology from AC! All we ask is that someone from AC have the decency to help resolve this long-overdue claim.";"""help resolve this long-overdue claim""";"
1
";no;0
Not Verified | Tel Aviv to Saint Louis via Toronto. This airline sucks! They had the rudest flight attendant that was waking people up and running around trying to enforce a mask rule. Karen of the skies. Then they would not let me on the flight to Saint Louis in Toronto as they said I had to fly with my bags? They rerouted me to Chicago with our my permission then proceeded to cancel the flight. I had to stay in Toronto overnight. Then to add insult to injury they lost my bags for 3 days. No way to get a hold of them, no apology. RUN!!;"""they lost my bags for 3 days""";"
1
";no;0
✅ Trip Verified |  I almost lost my connecting flight to Egypt because I arrived late at Montreal. Some of the staff members don’t even know that you don’t need to follow the Arrive CAN protocol if you are going to Canada just to connect flights. To top it all, on my way to Egypt the aircraft had the most uncomfortable seats. For an international flight that takes over 10hrs this aircraft has horrendous seats. ;"""the most uncomfortable seats""";"
1
";no;0
✅ Trip Verified |  Air Canada has been my worst experience. Their customer service is one of the worst.  I was asleep and the cabin crew just passed the breakfast box to me, without waking me up or asking if I wanted to have. I was travelling with a my 15 years old son who has special needs (autism and hypermobility) and requires a lounge for calmness, the lady at the desk was so rude, suggesting that I go to lounges to see if they would let me in.  It is my first and last time taking Air Canada.;"""first and last time taking Air Canada""";"
1
";no;0
✅ Trip Verified |  My Air Canada experience was my first and last. From a steward that wouldn’t let us carry on baggage (that we were able to on every other connecting flight) to delayed flights, canceled flights and re-routed flights. Then they topped it off by losing our luggage. They talk the talk but can’t walk the walk. ;"""experience was my first and last""";"
1
";no;0
✅ Trip Verified |  It was a traumatic experience to fly with them. I was denied boarding a flight that I had confirmed ticket for! The reason, they stated, was overbooking! I was not given any option but to choose another flight which was after few hours. My original flight was a direct flight from Toronto to Paris and they re-routed my trip via London Heathrow. I asked them multiple times to check if my luggage was on board. They assured me that my luggage was transferred to the new flight. It's been more than a week now and my luggage is still missing! I was off to Europe on my vacation for a week and I just had to spend it without my luggage. I cannot curse this airline enough to ruin my vacation completely. There is no customer service at all. ;"""no customer service at all"" ";"
1
";no;0
Not Verified |  Orlando to Halifax via Montreal. We used another airline to fly from Florida to Halifax. But our Air Canada experience from Halifax, to Montreal, and then to Orlando, was handled really well. As we all know, many airlines are understaffed, flights are cancelled and flyers are left waiting at gates for hours while crew from another flight arrives. It's routine, every time I have flown in the last year. Our departing flight from Halifax was a half hour late. We received a prompt email and were reassured our connection in Montreal would be held for us and 16 other passengers. The counter check in was smooth. The clerk was polite and friendly. She told us the connecting flight would be held to accommodate us and the other passengers. When we arrived at the gate, announcements were made to reassure us that our trip would not be cancelled or further delayed. We boarded the flight when they said we would. Our arrival in Montreal was also guided. The clerks moved us to Priority security check-in, and then to a counter for entrance to Customs. So apparently, US nationals are put through customs in Montreal before we fly back to our country. That went smooth too. In addition to us, there were about 30 other passengers expedited through this staging area and onto Customs counters. A man directed all of us to the counters and assured us our flights were waiting for us. He was emotionally poised and seemed to know exactly what was going on with the flights. The customs counter woman was also polite. I am impressed with our experience with Air Canada and I will fly them again.;"""impressed with our experience""";"
10
";yes;2
✅ Trip Verified |  Worst customer service, so rude staff, to start with my flight was delayed by 1 and half hour due to technical issue but no compensation or at least good customer service should be given. As we entered no one greeted. I had already called in earlier to customer care for my 1 year old baby bassinet and the request was in place but the air hostess though had the seat too but did not provide me one. Moreover when i asked for baby food, no one turned back to me and later when i asked they said they don't have it on flight at least as an courtesy for the little one they would have told me. The worst part was as my baby pulled out the instruction guideline from the front net, the air hostess snatched from his hand so rudely and said it is not a toy. I understand this but the behaviour is totally unacceptable.;"""Worst customer service""";"
2
";no;0
✅ Trip Verified |  The worst flying experience and I will never fly with them again. Terrible terrible experience. 4 flight delays and 4 hours late.  I will only fly with American Airlines moving forward.;"""I will never fly with them again""";"
1
";no;0
✅ Trip Verified |  Cancelled because they said not enough staff, booked again Sunday then they cancelled again. Wanted to send me on a 2 stop flight and I’m 88 years old and do not walk well enough for that change of flight. After twice on the phone for an hour requested a refund and booked elsewhere, won’t fly again until this is straightened out;"""requested a refund and booked elsewhere""";"
4
";no;0
Not Verified |  Air Canada is by far the worst airline I have flown in recent history. My first flight was delayed 3 hours, and no reason was given. When I did some more digging, I saw that the same flight had been cancelled almost every other day (and at least one flight each day from a different time but same route was cancelled). When we arrived in Toronto, we sat on the tarmac for an additional 90 minutes! The crew and staff could not have cared less. They were indifferent, as this seemed they were used to it. Toronto Pearson was a complete mess - crowded, trash everywhere, it was embarrassing.;"""worst airline I have flown""";"
1
";no;0
Not Verified |  August 21 transfer at YYZ to AMS. Arriving AMS: no bag. Apple AirTrace showed bag in YYZ. In the following days I shared the exact location with Air Canada numerous times, now August 29 bag is still in YYZ. Nobody mailed or called me. Nobody had decency to dispatch someone to locate my bag and put it on a flight to AMS. It’s incredibly frustrating knowing exactly where bag is but nobody is listening. Air Canada never again!;"""Air Canada never again""";"
1
";no;0
✅ Trip Verified |  Never flying with this airline again. Toronto airport is abysmal. Our flight sat on the run for 90 minutes due to a broken plane (as stated by the captain). We missed our transfer due to this, but when we asked to be rebooked and provided a hotel (due to a 23 hour layover) we were told ‘I don’t know why the pilot told you that’ and the customer service agent insisted the delay was due to the weather (despite the fact that we had already landed before the delay). No hotel was provided and the airline proceeded to not load up ur bags on our new flight meaning we arrived home with lost baggage. Please do not fly with this airline, the price and customer service is awful, I would rather fly Ryanair.;"""Never flying with this airline again""";"
1
";no;0
✅ Trip Verified |  I will never fly Air Canada again. They delayed my flight over an hour and instead of holding the connecting flight for 10 minutes for the many people on the late flight they have us a 6 hour lay over. I saw they had a large standby list for that flight so I get the feeling they delayed it specifically to accommodate them while still taking my money. Horrible customer service, flight attendants were rude, and zero compensation for the costs I will incur having to stay in a different city.;"""Horrible customer service""";"
1
";no;0
"✅ Trip Verified |  This my first and last time ever flying Air Canada. I had a horrible experience. My plane was scheduled to leave PDX Airport at 6:30 am on 8/25 I arrived in more than enough to to board the flight the Staff announced that the plane would be late because ""there were too many planes in the air.""  We were told that the plane would be leaving PDX Airport 45 minutes late. I was scheduled to land in Vancouver BC to connect with my flight to Puerta Vallarta to leave at 8:50 am. When I inquired if we arrived late how would that affect my flight out of Canada the flight attendant informed me that I would have 26 minutes to get to my next gate she reported it was narrow but I would make it on time. We landed in Canada we were quickly notified that there were no steps available to leave the plane and that their would be a 15 - 20 minute wait because they needed to find steps so we could deboard the plan. We waited on the tarmac for 30 minutes once the steps arrived folks was fussing, cussing, and angry that multiple patrons including me the missed their connecting flights the staff did not care they offered no support or assistance I had to walk around talking to several air Canada flight Staff members no one had answers they all acted as if they had no clue about their jobs. I asked to speak with a manager this was no help at all he was rude as well when I asked if they could assist me with finding a flight he told me there was nothing he could do. They also lost my luggage it took them hours to find it when they finally did I got no apologies. I arrived at 7ish in the morning had to sit in the airport over 15 hrs while in Canada until 11:35 pm to catch a new flight to Puerta Vallarta that will have me arrive at 8/26 at 10:11 am.";"""I had a horrible experience""";"
2
";no;0
✅ Trip Verified |  Arrived early for boarding, once we got to the front of the line, they told us we needed to check our bags in because they ran out of space in the overhead compartments. I really don't understand how you can run out of space, when you arrange for an aircraft for a certain number of people. The Air Canada rep was very cold and careless about the situation. It's one thing to have changes, but at least be friendly and show some respect to your customers. She brushed off any questions that I was about to ask, and rushed me through. Couldn't get two words in. When we boarded the plane, the seats were very dirty - crumbs, tissues, and garbage in the area of the seatbelt and around the chair. This made us feel unsafe, considering we are still in a pandemic. You say you are taking every possible precaution to maintain the cleanliness for the safety of the passengers, but clearly we are not seeing that. The menus and the safety feature pamphlet were also filthy and sticky. Very minor issue - no free snacks? come on. Another minor issue - the outlets for the headphones are for those that don't even sell anymore. Like what? After we landed, we waited almost 45 minutes to exit the plane, because they were not able to dock it in the right spot. Something was blocking? It really was not made clear to the passengers as to what was happening. It would have taken you 30 seconds or less to explain to the passengers, instead of leaving them hanging. Exit the airplane, to find out our checked luggage had not been loaded. Waited another 40-45 minutes for them to load it and collect our baggage. I will never fly with this airline again. Horrible representation of what Canada is all about. I have flown with cheaper airlines and received more compassion and respect, and overall customer service. Unacceptable.;"""I will never fly with this airline again""";"
3
";no;0
✅ Trip Verified |  Air Canada staff was rude and discourteous. If they do not like their job they have no right to spoil anyone's journey especially when we have paid a tremendous amount. My last time ever to travel by this airline. Service and food were pathetic as well. Anyone who wants to travel please don’t travel by Air Canada and their horrible staff. ;"""Service and food were pathetic""";"
1
";no;0
✅ Trip Verified |  Air Canada is really struggling lately. They used to be my go-to despite often having some delays on their routes, but nowadays it's just completely spiraled into nonsense. Their website is often broken. They cancelled two of my flights - both citing weather reasons. Once it was actually legitimate as across the board flights got cancelled. However, for the first time they had cancelled 6h ahead of time (how could you know the flight can't take off that early?) while other flights by other airlines and a bit later in the day was still able to fly. The only redeeming quality is that now their customer service line doesn't take 4h like it used to to connect to someone. Only took me 20 minutes and the person I got actually knew what they were doing. That might be a fluke and I just got lucky though, but I will certainly not be flying Air Canada anytime soon if I can help it.;"""Air Canada is really struggling lately""";"
3
";no;0
✅ Trip Verified |  They messed up our flight multiple times, where we were stuck because of this for 3 days. Our checked bagged was returned to us with stuff taken and bag ripped. They gave us a measly discount of 30%, when we were through so much exhaustion and we had rude team members not wanting to help;"""messed up our flight multiple times""";"
1
";no;0
✅ Trip Verified |  Horrible, just horrible. If you can fly with a decent company, please avoid Air Canada (I know I will). My early flight got cancelled for some obscure reason. There were two other direct flights to the same destination on the same day, but the customer service didn't bother to try and put me on them. I spoke with at least 8 different people on the phone, and they all told me different things. All were acting as if it were my fault that the company cancelled the flight. I went to the airport, trying to get on one of the direct flights. After waiting for 45+ minutes in line (only two registration stands were open), I finally got to speak to someone. The person was very rude and again acted as if I were to blame for the cancellation. Anyways, after multiple phone calls I got a flight on the same day. It was later in the day and not direct, so super inconvenient. Because of Air Canada I missed a very important event and wasted my time trying to get some response from them. Like I said, don't fly them - they are unreliable and their customer support is terrible (okay, just one out of 8 people was actually helpful - the one who helped me book a new flights). AVOID;"""their customer support is terrible""";"
1
";no;0
✅ Trip Verified |  This is the worst trip I’ve ever experienced in my life. It started with each flight being delayed which it didn’t really affect my trip until I was coming back to Jeddah. It started when my flight got delayed in Minneapolis causing the missing of my next flight from Montreal to Cairo. I traveled with 4 kids and it was such a mess trying to catch the flight we’ve been rerouted to which is from Montreal to Athens. I asked the agent who printed our boarding passes if my luggage will be rerouted and she said yes! After a long, hard, tiring trip and a long wait in Athens, we made it Jeddah and guess what no luggage. I checked in 12 pieces of luggage none of them arrived and the worst is that Air Canada doesn’t want to file a claim for me stating they’re not the last carrier I traveled with. The other airline company doesn’t want to file a claim for me either stating that their name is not on the baggage tags. To summarize this, Air Canada is the worst airline company I’ve traveled with in term of service, food, timing, comfort and customer service. Will never fly air Canada again;"""Will never fly air Canada again""";"
1
";no;0
✅ Trip Verified |  Air Canada is terrible. I paid over $300.00 for a direct flight from Montreal to BWI. I could have purchased a ticket for $120.00 if a wanted a flight with stops. I selected the most expensive direct flight option. Thur flight got cancelled and replaced with a two flights Montreal to Toronto and Toronto to BWI. The flight from Montreal was very late. While I was in the air the second flight from Toronto to BWI got cancelled. According to the customer service no flight was available on the same day. They offered me to fly back to Montreal and from there to DC the next day. Then they instructed where to pick up my luggage. However, I couldn't find my checked in bag. I had to speak Air Canada rep and he told me that my bag got checked in for the next flight and would stay in the airport. I tried to explain that all my belongings were there but he didn't want to listen to me. I had to find an emergency accommodation and buy a few things to spend the afternoon and night in Toronto No assistance or accommodation was offered to me. Next day I flew to Montreal and I was assured that my bags were loaded on the flight. In Montreal I had to wait an hour before I was able to pass the custom office control because my luggage couldn't be found. It remained in Toronto. My flight to DC was rescheduled twice. Originally I was supposed to land around 3 PM but instead I landed after 5 PM. I still don't know where my luggage is. No compensation or even a simple apology was ever offered by Air Canada. I lost a precious vacation day because my original flight was cancelled. I had to spend extra money because my stay in Canada was extended against my will. I am feeling traumatized and abused by Air Canada. I can express how much stress and inconveniences Air Canada caused to me. They are unreliable and inconsiderate. I will never use Air Canada again. This company is a nightmare.;"""I will never use Air Canada again""";"
1
";no;0
"✅ Trip Verified |  Worst travel experience of my life. Supposed to be heading to Germany for a work convention. Flight was delayed out of Newfoundland which made us miss our connection in Toronto. So they tried to put us on a different flight with a different company but ""couldn't"" actually transfer our tickets because they used a European operator called Eurowings and we had already ""checked in"" at our original departure. So be aware if your Air Canada flight is operated by another company because they'll use that as an excuse to screw you over. If you're reading this Air Canada rep; maybe don't make deals with other companies if you can't provide customer support. So now I'm stuck in Toronto, going to be over 24 hours late arriving to a work thing and they're doing everything not to help. Sure they gave us a hotel room for the night and $20 each in food vouchers for the airport but that doesn't begin to make up for the stress of all of this. Can't even call to get compensation because you have to ""go online"" so they can proceed to ignore your claims. Terrible company with even worse customer service. One lady did try to be helpful but here we are in the end, screwed over. If I could give a 0/10 I would.";"""Worst travel experience of my life""";"
1
";no;0
Not Verified |  Air Canada is the worst company. I’ll never fly with then again. They change our flights hour 3 different times, then after more the 4 hours delay they cancel the flight. I was travelling with my grandmother and my wife. They give to us a other flight, but they cancel it again. I needed to rental a car and drive 8 hours from Newark to Toronto to be at my home!;"""I’ll never fly with then again""";"
1
";no;0
✅ Trip Verified |  Lost luggage is a major problem for Air Canada as I learned the hard way. Lost 2/2 bags, huge line at Copenhagen airport of other Air Canada customers who similarly had lost luggage on multiple AC flights. What is most disconcerting is the number of large carts of lost luggage labeled with dates going back up to a week in full public access that had not even been touched by AC staff which makes me highly doubt the AC claim that they are doing everything they can to reunite lost luggage with travelers. If you are planning to travel with Air Canada, my advice is not to check bags right now.;"""Lost luggage is a major problem""";"
1
";no;0
✅ Trip Verified |  Traveling Air Canada was not a good experience for me, all legs of my journey were late, returning - to the point I missed my flight and they could not get me on another flight until morning. I had to pay for the hotel myself, as they were out of hotel vouchers and told to submit for a refund online, which I did only to receive a response that it could take up to 30 days for someone to make contact with me. That was on July 11. It is now August 22 and I have yet to even be acknowledged, let alone refunded for my hotel. At this point I am frustrated and will never travel Air Canada again, if this is how they treat their customers.;"""will never travel Air Canada again""";"
1
";no;0
✅ Trip Verified |  I will never fly Air Canada again. Gate staff are inflexible. Our flight from Rome to Toronto was delayed thus we missed our connection to San Francisco. There were about 10 people on the flight that had to make this connection. The Staff at customer service had called the gate and let the gate staff know we were all running to the gate to make the flight and to please allow us to board. We got there 5 minutes after they closed the doors, the airplane had not moved from the gate, but they would not let us on. This I accept as I’m unclear about FAA rules once an airplane door is closed. What I don’t accept is the absolute incompetence of booking us on different flights, losing our luggage, and having absolute no remorse about treating passengers like cattle. Every nightmare you read about plane travel occurred, which I accept that it’s a difficult time for this industry, but I do not accept the rudeness of staff, total apathy to help customers.;"""I will never fly Air Canada again""";"
1
";no;0
✅ Trip Verified |  Terrible experience in YUL with a rude supervisor at baggage drop who charged me 100$ for 2-3 kgs above weight. I was never charged these fees in Geneva. The company applies different policy in different countries. Also, the food is terrible on this flight.  Flights always delayed.;"""charged me 100$ for 2-3 kgs above weight""";"
1
";no;0
✅ Trip Verified |  Absolutely worst customer service. Do not fly this airline. The boarding staff are rude, aggressive, and completely without compassion. They force you to check your carry on despite it being a half empty flight or denying boarding with zero support. I had a terrible experience in NY and my girlfriend was denied boarding out of St. Louis despite having passport information, global entry, an enhanced licensed — everything! ;"""force you to check your carry on"" ";"
1
";no;0
Not Verified | Calgary to Delhi via Toronto. This was most terrible experience I ever had with Air Canada. Worst flight and customer service ever. Less than 12 hours, I was informed that my flight has been changed. That caused my husband to auto cancel his flight. The new scheduled flight from YYC - YYZ was scheduled at 1300 but got delayed by 45 mins. which made my connection tight at YYZ. I had almost 1 hour to connect with my flight from YYZ but due to some reason, when plane reached YYZ, it didn't connected with gate for almost an hour and I had to rush to my gate with my carry-on and an infant in 10 mins. The gate was closed and I was a min. or 2 away to miss my flight to DEL. After arriving DEL, I waited for my baggage to arrive for 2 hours, no luck. I asked Air Canada for help, they wrote down my info and gave me my baggage tag numbers only not the file ref. no. My husband in YYC contacted Air Canada who registered the complaint for missing luggage and gave him file ref. no. My first red bag arrived after 5 days, which had all milk supplies for my infant. My 2nd bag was delayed and arrived after 10 days because they forgot to pick my 2nd bag. In addition, both rear wheels of the baggage arrived broken. Left wheel is missing and right wheel is not aligned with the bag. This is the WORST flight of my life. I will never fly Air Canada again.;"""Worst flight and customer service""";"
1
";no;0
✅ Trip Verified | Got to Athens for my cruise but luggage was left in Toronto. Luggage had AirTags so we knew it was there. Luggage service took report that’s it. Our cruise ship customer service could not get thru to AC and apparently this is happening to a lot of customers who were there with lost luggage. No one answers at AC. Useless trying to get thru. Our cruise ship lost and found went to work and managed to recover our luggage after 5 days. At this point we had bought enough clothes for 4 bdays. We are now trying to get compensated but again impossible to get thru. Terrible airline.;"""No one answers at AC""";"
1
";no;0
"✅ Trip Verified |  
First and last time flying with this airline. Flights going and coming were delayed numerous times, customs was a nightmare. We had to wait for our pilot. Not a good experience. The flight attendants were fabulous.";"""Not a good experience""";"
4
";no;0
